"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Direction"
"Antibacterial Humoral Response (GO:0019731)","2/49",0.00143956831095975,0.113580727574398,0,0,40.3850050658561,264.255726541593,"IGHM;DEFA5","GO_Biological_Process_2023","Positive"
"Regulation Of MAPK Cascade (GO:0043408)","3/204",0.00159305297462197,0.113580727574398,0,0,14.7582089552239,95.0739020962217,"OSM;STK3;RNF41","GO_Biological_Process_2023","Positive"
"Defense Response To Gram-negative Bacterium (GO:0050829)","2/75",0.00333584763034024,0.113580727574398,0,0,25.9673842139596,148.09273146071,"IGHM;DEFA5","GO_Biological_Process_2023","Positive"
"Cell Junction Disassembly (GO:0150146)","1/5",0.00573728911332865,0.113580727574398,0,0,226.965909090909,1171.31850515834,"C1QC","GO_Biological_Process_2023","Positive"
"Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455)","1/5",0.00573728911332865,0.113580727574398,0,0,226.965909090909,1171.31850515834,"C1QC","GO_Biological_Process_2023","Positive"
"Antimicrobial Humoral Response (GO:0019730)","2/100",0.00584761959206228,0.113580727574398,0,0,19.3187560738581,99.3316462237063,"IGHM;DEFA5","GO_Biological_Process_2023","Positive"
"Regulation Of Protein Secretion (GO:0050708)","2/102",0.00607659553385651,0.113580727574398,0,0,18.9304761904762,96.6081014135045,"DNAJC1;FGG","GO_Biological_Process_2023","Positive"
"Synapse Pruning (GO:0098883)","1/8",0.00916455474573022,0.113580727574398,0,0,129.675324675325,608.490047133173,"C1QC","GO_Biological_Process_2023","Positive"
"Plasminogen Activation (GO:0031639)","1/8",0.00916455474573022,0.113580727574398,0,0,129.675324675325,608.490047133173,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Peptide Secretion (GO:0002793)","1/8",0.00916455474573022,0.113580727574398,0,0,129.675324675325,608.490047133173,"FGG","GO_Biological_Process_2023","Positive"
"Nucleic Acid Transport (GO:0050657)","1/8",0.00916455474573022,0.113580727574398,0,0,129.675324675325,608.490047133173,"RBFOX1","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Hormone Secretion (GO:0046888)","1/9",0.0103044643785071,0.113580727574398,0,0,113.460227272727,519.100740554472,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of Granulocyte Differentiation (GO:0030852)","1/9",0.0103044643785071,0.113580727574398,0,0,113.460227272727,519.100740554472,"C1QC","GO_Biological_Process_2023","Positive"
"Regulation Of Protein Kinase B Signaling (GO:0051896)","2/136",0.0105763000351583,0.113580727574398,0,0,14.1030561478323,64.1567715816379,"OSM;RNF41","GO_Biological_Process_2023","Positive"
"Inositol Phosphate Biosynthetic Process (GO:0032958)","1/10",0.0114431199495764,0.113580727574398,0,0,100.848484848485,450.82969906826,"IP6K2","GO_Biological_Process_2023","Positive"
