"protein","beta","se","t_stat","p_value","n_obs","fdr","rank_metric"
"NDC80",0.0144730656395334,0.003557929193944,4.06783408286151,0.000416156204682851,27,0.896531207390823,3.38074362586718
"TSEN15",0.0938135264394724,0.0260128858552995,3.60642517563502,0.00135072433510625,27,0.896531207390823,2.8694332756693
"STK3",0.126616956764215,0.0366938612689404,3.45063049746117,0.00199779271997929,27,0.896531207390823,2.69944957378724
"RNF41",0.0577607156266082,0.017402170716673,3.31916727901467,0.00277069481072441,27,0.896531207390823,2.55741130868826
"NECTIN4",0.136452559309598,0.041703773493157,3.27194754527399,0.00311355495114333,27,0.896531207390823,2.50674346500996
"C1QC",0.0395425758816445,0.0123076875201598,3.21283554013492,0.00360083582311016,27,0.896531207390823,2.44359667944592
"OSM",0.0962591602429611,0.0300688632753493,3.20129029692569,0.00370423621983613,27,0.896531207390823,2.43130132606672
"CLPS",0.180029807278956,0.0563513502955839,3.194773618283,0.0037638572818397,27,0.896531207390823,2.42436685253612
"IP6K2",0.105139515092792,0.0329693846768859,3.18900446954665,0.00381740965537617,27,0.896531207390823,2.4182312323687
"GOLM2 2",0.0247806860517728,0.00777326234305,3.18793898342168,0.0038273800225936,27,0.896531207390823,2.41709841430501
"RBFOX1",0.104260757376153,0.0334155954904727,3.12012268061718,0.00451620380039297,27,0.896531207390823,2.34522646812241
"REG4",0.00329149139916221,0.00112509097585182,2.9255335522269,0.0072158525134995,27,0.896531207390823,2.14171235202209
"CDCP1 2",0.0537286305402485,0.0185060038250235,2.90330808575741,0.00760774405846668,27,0.896531207390823,2.11874410646304
"GEMIN7",0.0340022421811355,0.0117626542529711,2.8906946893,0.00783906131141159,27,0.896531207390823,2.10573593880552
"IL20RB",0.0663060747270442,0.0229821949310933,2.88510627143523,0.0079436687048543,27,0.896531207390823,2.09997887662923
"DNAJC1",0.0987153729661718,0.0342831529872862,2.87941348343252,0.00805159142465367,27,0.896531207390823,2.09411827135422
"IGHM",0.000136093004811859,4.73969054257806e-05,2.87134789896713,0.00820688169635744,27,0.896531207390823,2.08582182696294
"GIP 2",0.090433099984269,0.0316824674822452,2.85435785691085,0.00854334266187045,27,0.896531207390823,2.0683721743259
"LCN8",0.118447357112566,0.0415395882573893,2.85143310469612,0.00860256613042024,27,0.896531207390823,2.06537198014659
"CEACAM7",0.0504210206497728,0.0177201501911272,2.84540594215841,0.00872583949371104,27,0.896531207390823,2.05919277984756
"MYSM1",0.0515674487148705,0.0182916896630972,2.81917360641133,0.00928211687038908,27,0.896531207390823,2.03235296771557
"DEFA5",0.00418076895793812,0.00149747661471272,2.79187595776925,0.00989650359694721,27,0.896531207390823,2.00451821315556
"FGG",7.80977901960048e-05,2.79771363778345e-05,2.79148620292245,0.00990554783085286,27,0.896531207390823,2.00412150060629
"SCIMP",0.181689931330798,0.0653529776107283,2.78013241283396,0.0101724626304028,27,0.896531207390823,1.9925738968976
"CREB1",0.0561910677031598,0.0203727541674448,2.75814783025026,0.010708701890929,27,0.896531207390823,1.97026317116391
"SYTL4",0.021371357622312,0.00777072159967455,2.75024106168043,0.0109079940676661,27,0.896531207390823,1.96225510692225
"KRT1",0.00470269035123758,0.00171396089420858,2.7437559206443,0.0110740567180687,27,0.896531207390823,1.9556932564895
"FAM118A",0.0866194063617794,0.0316145852235803,2.73985585289833,0.0111750677686545,27,0.896531207390823,1.95174983450802
"FGA|FGB|FGG 2",0.000210833329252341,7.72487413125647e-05,2.72927850564276,0.011453402955376,27,0.896531207390823,1.94106545959739
"CDC42BPA",0.0551131520337016,0.0202311797767394,2.72416896305115,0.0115901814582164,27,0.896531207390823,1.93590976458126
"DFFA",0.0190589511156111,0.00703463703935085,2.70930127723688,0.0119969681956606,27,0.896531207390823,1.9209284924736
"NBR1",0.0133694063150197,0.00496035788940748,2.69525034545778,0.0123937072794147,27,0.896531207390823,1.90679876544277
"RBFOX2",0.077795644480509,0.028956129233515,2.68667278879476,0.0126419228973936,27,0.896531207390823,1.89818686274569
"LCAT",0.0162872006448763,0.00611186435824889,2.66484982162509,0.0132946220448695,27,0.896531207390823,1.87632400479054
"TOR1AIP1 2",0.0143662682640953,0.00539301928941124,2.66386368991899,0.0133248493593824,27,0.896531207390823,1.87533769207691
"TST",0.0201579868904727,0.0076548296692688,2.63336844337624,0.0142920034419526,27,0.896531207390823,1.84490688787816
"EGF",0.0729901006781962,0.0278564060148182,2.62022676720641,0.0147287118219794,27,0.896531207390823,1.83183523503586
"DHH",0.00977279307483832,0.00373559166861773,2.61612990438393,0.0148673833606346,27,0.896531207390823,1.82776545999408
"ADA2",0.000265204841285165,0.000101989955701903,2.60030352459713,0.0154146132247994,27,0.896531207390823,1.81206736788478
"FKBP14",0.00346132537541813,0.00133270611037064,2.59721580660833,0.0155235455258404,27,0.896531207390823,1.80900908034254
"MRM1",0.238577765125826,0.0919274231560579,2.59528394177667,0.0155920650093795,27,0.896531207390823,1.80709636314416
"TCN2 2",5.6763474969594e-05,2.21043338057654e-05,2.56797945002028,0.0165911558668247,27,0.896531207390823,1.78012335664609
"IL32",0.115029873811699,0.0448222073378607,2.5663589689956,0.0166522857337474,27,0.896531207390823,1.77852614573595
"LAMC2",0.00626658912997702,0.00244356059467909,2.56453191446231,0.0167214596711844,27,0.896531207390823,1.7767258142492
"IGFBPL1",0.00658832070933981,0.00258501460411068,2.54865898972605,0.0173337751339404,27,0.896531207390823,1.76110684171253
"PRSS22",0.00144664701473051,0.000567810354227375,2.54776441457989,0.0173688975351691,27,0.896531207390823,1.7602277468717
"KIT",0.000105799817463477,4.16079189078092e-05,2.54278080328645,0.0175657757209835,27,0.896531207390823,1.75533266660046
"HECW1",0.106766003905912,0.0420522086388188,2.53889171013374,0.0177208534661493,27,0.896531207390823,1.75151536559156
"HGFAC",2.96137689810948e-05,1.1674389680368e-05,2.53664386677911,0.0178110654329235,27,0.896531207390823,1.74931010087365
"PRKG1",0.00683490119262106,0.00271800945999859,2.51467159817193,0.0187156069348317,27,0.896531207390823,1.72779608443659
"GC",3.83315748410368e-05,1.52520023384044e-05,2.51321590375831,0.0187770144613649,27,0.896531207390823,1.7263734592493
"LCN2",0.000359459129852431,0.000143673107325154,2.50192354397209,0.0192597591484871,27,0.896531207390823,1.71534914821548
"PANK3",0.0410259877649249,0.016435473254045,2.49618536264709,0.0195094477381763,27,0.896531207390823,1.70975502418094
"PTK7",0.000360351611325718,0.000145015927471034,2.48491057230728,0.0200088079738063,27,0.896531207390823,1.69877878371854
"IFIH1",0.0108897325161183,0.00438389137189213,2.48403338320361,0.0200481504902756,27,0.896531207390823,1.69792568633142
"CYGB",0.0569717995081443,0.0229626055371638,2.48106859719985,0.0201816535435799,27,0.896531207390823,1.69504325358808
"FXYD6",0.178030937668436,0.0719989007599196,2.47268966316695,0.0205634125490482,27,0.896531207390823,1.68690481145502
"BAP18",0.0444325310707024,0.0179705378287696,2.47252093922137,0.0205711680447849,27,0.896531207390823,1.68674104807179
"ADAMTSL1",0.00138779528587991,0.000562060551027574,2.46912060158412,0.0207280440990389,27,0.896531207390823,1.68344167605712
"NAGLU",0.00188781250211796,0.000768462380717876,2.45661017310231,0.0213147834437489,27,0.896531207390823,1.67131907538666
"CD109",0.00190748933115396,0.00078258111241298,2.437433386646,0.0222440024988416,27,0.896531207390823,1.65278706480746
"RNPC3",0.0647986944689192,0.026604001832445,2.43567471078331,0.022331063794277,27,0.896531207390823,1.6510905877669
"FGA|FGB|FGG",1.87818649324429e-05,7.73229580114989e-06,2.42901531646652,0.0226635839511252,27,0.896531207390823,1.64467141101626
"ANGPTL1 2",0.0195295863920639,0.00804118522111461,2.42869500640067,0.0226796922550103,27,0.896531207390823,1.64436284276227
"CTSB 2",0.000202704808265052,8.35538296506205e-05,2.42603850849997,0.0228136938597504,27,0.896531207390823,1.64180439060997
"CPE",0.000407803556691853,0.000169097047571468,2.4116539144156,0.0235520449032143,27,0.896531207390823,1.6279713793365
"FAM20A",0.0291709557474292,0.0121041143606497,2.41000331608429,0.0236381609469189,27,0.896531207390823,1.6263863146636
"PTGES2",0.0367652353856773,0.0152965281595313,2.40350195823807,0.0239801785937499,27,0.896531207390823,1.62014758679216
"ITGAV|ITGB5",0.00365365413952896,0.00152033434485001,2.40319121376516,0.0239966393516394,27,0.896531207390823,1.61984957550646
"DLL4",0.0220263087842433,0.00918301231938088,2.39859296908014,0.024241434888418,27,0.896531207390823,1.61544167717577
"Ovos",0.142234446582623,0.0593496912233539,2.39654905780966,0.0243509811804763,27,0.896531207390823,1.61348353495524
"PRSS3",0.00580547339860007,0.0024256984231905,2.39332034975897,0.0245249555124257,27,0.896531207390823,1.61039177174518
