"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Direction","Threshold"
"Regulation Of Macrophage Apoptotic Process (GO:2000109)","1/5",0.0012494733811349,0.0201264524187507,0,0,1249.4375,8352.53105828692,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Cardiac Muscle Cell Differentiation (GO:2000727)","1/5",0.0012494733811349,0.0201264524187507,0,0,1249.4375,8352.53105828692,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Nephron Tubule Development (GO:0072080)","1/5",0.0012494733811349,0.0201264524187507,0,0,1249.4375,8352.53105828692,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042985)","1/5",0.0012494733811349,0.0201264524187507,0,0,1249.4375,8352.53105828692,"ITM2A","GO_Biological_Process_2023","Negative","p < 0.001"
"Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850)","1/6",0.00149921982162069,0.0201264524187507,0,0,999.5,6499.55901988972,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034)","1/7",0.00174891651493262,0.0201264524187507,0,0,832.875,5287.7224998036,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Glycoprotein Biosynthetic Process (GO:0010561)","1/8",0.00199856343165899,0.0201264524187507,0,0,713.857142857143,4436.8553176414,"ITM2A","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Skeletal Muscle Cell Differentiation (GO:2001014)","1/8",0.00199856343165899,0.0201264524187507,0,0,713.857142857143,4436.8553176414,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Endochondral Ossification (GO:0001958)","1/8",0.00199856343165899,0.0201264524187507,0,0,713.857142857143,4436.8553176414,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Muscle Cell Fate Commitment (GO:0042693)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"B Cell Homeostasis (GO:0001782)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Cardiocyte Differentiation (GO:1905209)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Skeletal Muscle Tissue Development (GO:0048643)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Cardiac Muscle Cell Differentiation (GO:2000725)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042984)","1/10",0.00249770786419674,0.0201264524187507,0,0,555.166666666667,3326.77064151216,"ITM2A","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Behavior (GO:0048520)","1/11",0.00274720535833692,0.0201264524187507,0,0,499.625,2946.37411950643,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
