"Database","Pathway","Overlap","Genes","p_value","FDR","Combined_Score","Direction"
"KEGG_2021_Human","Staphylococcus aureus infection","3/95","DEFA5;FGG;C1QC","<0.001","0.0041","281.1","Positive"
"GO_Biological_Process_2023","Neural Crest Cell Differentiation (GO:0014033)","2/18","MEF2C;FAM172A","<0.001","0.0364","1079.4","Negative"
"KEGG_2021_Human","Complement and coagulation cascades","2/85","FGG;C1QC","0.0043","0.0511","124.6","Positive"
"GO_Biological_Process_2023","Muscle Organ Development (GO:0007517)","2/58","MEF2C;MKX","0.0018","0.0965","224.1","Negative"
"GO_Biological_Process_2023","Regulation Of Macrophage Apoptotic Process (GO:2000109)","1/5","MEF2C","0.0055","0.0965","1237.7","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Cardiac Muscle Cell Differentiation (GO:2000727)","1/5","MEF2C","0.0055","0.0965","1237.7","Negative"
"GO_Biological_Process_2023","Nephron Tubule Development (GO:0072080)","1/5","MEF2C","0.0055","0.0965","1237.7","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042985)","1/5","ITM2A","0.0055","0.0965","1237.7","Negative"
"GO_Biological_Process_2023","Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850)","1/6","MEF2C","0.0066","0.0965","955.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034)","1/7","MEF2C","0.0077","0.0965","771.9","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Glycoprotein Biosynthetic Process (GO:0010561)","1/8","ITM2A","0.0088","0.0965","643.5","Negative"
"GO_Biological_Process_2023","Regulation Of Skeletal Muscle Cell Differentiation (GO:2001014)","1/8","MEF2C","0.0088","0.0965","643.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Actin Cytoskeleton Reorganization (GO:2000251)","1/8","CCL27","0.0088","0.0965","643.5","Negative"
"GO_Biological_Process_2023","Endochondral Ossification (GO:0001958)","1/8","MEF2C","0.0088","0.0965","643.5","Negative"
"GO_Biological_Process_2023","B Cell Homeostasis (GO:0001782)","1/9","MEF2C","0.0099","0.0965","549.1","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108)","1/9","MEF2C","0.0099","0.0965","549.1","Negative"
"GO_Biological_Process_2023","Muscle Cell Fate Commitment (GO:0042693)","1/9","MEF2C","0.0099","0.0965","549.1","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Cardiocyte Differentiation (GO:1905209)","1/9","MEF2C","0.0099","0.0965","549.1","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Skeletal Muscle Tissue Development (GO:0048643)","1/9","MEF2C","0.0099","0.0965","549.1","Negative"
"GO_Biological_Process_2023","Regulation Of Cardiac Muscle Cell Differentiation (GO:2000725)","1/9","MEF2C","0.0099","0.0965","549.1","Negative"
"GO_Biological_Process_2023","Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042984)","1/10","ITM2A","0.0109","0.0965","477.0","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)","1/10","BTC","0.0109","0.0965","477.0","Negative"
"GO_Biological_Process_2023","Melanocyte Differentiation (GO:0030318)","1/11","MEF2C","0.0120","0.0965","420.3","Negative"
"GO_Biological_Process_2023","Cellular Response To Fluid Shear Stress (GO:0071498)","1/11","MEF2C","0.0120","0.0965","420.3","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Behavior (GO:0048520)","1/11","MEF2C","0.0120","0.0965","420.3","Negative"
"GO_Biological_Process_2023","Smooth Muscle Cell Differentiation (GO:0051145)","1/11","MEF2C","0.0120","0.0965","420.3","Negative"
"GO_Biological_Process_2023","Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752)","1/12","MEF2C","0.0131","0.0965","374.6","Negative"
"GO_Biological_Process_2023","Endochondral Bone Morphogenesis (GO:0060350)","1/12","MEF2C","0.0131","0.0965","374.6","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045)","1/13","MEF2C","0.0142","0.0965","337.0","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912)","1/14","MEF2C","0.0153","0.0965","305.7","Negative"
"GO_Biological_Process_2023","Stem Cell Development (GO:0048864)","1/15","FAM172A","0.0164","0.0965","279.2","Negative"
"GO_Biological_Process_2023","Regulation Of NMDA Receptor Activity (GO:2000310)","1/16","MEF2C","0.0175","0.0965","256.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023)","1/16","MEF2C","0.0175","0.0965","256.5","Negative"
"GO_Biological_Process_2023","Regulation Of Leukocyte Chemotaxis (GO:0002688)","1/17","ZNF580","0.0185","0.0965","236.9","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)","1/17","MEF2C","0.0185","0.0965","236.9","Negative"
"GO_Biological_Process_2023","Maintenance Of Gastrointestinal Epithelium (GO:0030277)","1/18","SERPINA3","0.0196","0.0965","219.8","Negative"
"GO_Biological_Process_2023","Excitatory Postsynaptic Potential (GO:0060079)","1/18","MEF2C","0.0196","0.0965","219.8","Negative"
